customer_id,first_name,last_name,email,phone,registration_date,loyalty_points
51,Michele,Pena,raymondricky@example.net,1855556463,2025-02-13,9254
52,Jeffery,Ayala,wriley@example.org,1285931209,2025-02-11,4654
53,Aaron,Watkins,connercraig@example.net,7315896732,2024-12-29,8561
54,Christopher,Dixon,wgill@example.com,4589008360,2023-09-09,5211
55,Mark,Lowe,mwatson@example.net,8049395306,2023-09-19,9530
56,Joseph,Guzman,emma95@example.com,6306088426,2023-09-19,679
57,Zachary,Mckinney,david35@example.com,0016906028,2025-05-27,9271
58,Marie,Martinez,cindy84@example.net,6457882333,2025-02-13,8680
59,Valerie,Payne,schaefernicole@example.org,0019923504,2024-04-22,4808
60,William,Medina,zdavis@example.com,7529051546,2024-01-10,1733
61,Christopher,Fleming,andrewlong@example.com,7638768301,2024-12-04,6933
62,Jamie,Jones,adriana94@example.com,2269402872,2023-12-24,4989
63,Lori,Patterson,emilyjames@example.org,1788369919,2024-05-23,587
64,Allison,Mills,xwhite@example.org,1701279461,2025-05-06,2659
65,Jenna,Barber,johnsontaylor@example.net,0014958579,2023-11-13,9177
66,Gary,Moore,rivastara@example.com,3678757513,2023-12-03,3148
67,Benjamin,Thomas,ageorge@example.org,1814268584,2024-05-14,8517
68,Andrea,Casey,katelynvega@example.com,5397715666,2024-01-16,9314
69,Megan,Brown,sandragentry@example.net,1873445782,2025-01-19,2692
70,Mark,Castillo,sandra82@example.com,1405676552,2024-10-24,4463
71,Amy,Colon,johnroberts@example.com,9668914452,2024-08-02,6644
72,Christopher,Garcia,eric53@example.net,9063339031,2024-09-08,9903
73,Leslie,Ramirez,aguilarjonathan@example.net,6438479837,2025-05-13,8142
74,Catherine,Walker,uharvey@example.com,6059663495,2024-08-27,1348
75,Dustin,Anderson,lrodriguez@example.net,2288967998,2025-05-06,9017
76,Monica,Martinez,kirkeric@example.org,1353412016,2023-06-03,8271
77,Kenneth,Sanford,morenorobert@example.com,3349793874,2025-01-18,612
78,Kristina,Vincent,robinsonbrittany@example.com,5715126012,2024-12-17,552
79,Christopher,Carter,tyler52@example.org,4616167381,2023-07-15,6158
80,Jason,Graham,bartonkevin@example.net,3983385908,2024-04-14,8859
81,Nicholas,Lopez,christopher44@example.com,7516920679,2023-07-16,3438
82,Shaun,Silva,ramirezmisty@example.org,5227405092,2023-11-24,3926
83,Anna,Castro,tgonzales@example.com,7293206113,2025-05-27,4499
84,Alicia,Barton,cbrown@example.net,5397987739,2024-02-13,4795
85,Emily,Hickman,danielleflowers@example.net,2717714645,2025-03-07,5818
86,Sara,Leon,ericgriffin@example.net,4648473821,2025-03-21,749
87,James,Little,daniel88@example.com,0012434049,2025-02-15,6571
88,Stephen,Smith,cynthia82@example.com,6159552940,2024-01-16,3535
89,Jessica,Vance,susanserrano@example.org,4189687019,2024-12-13,198
90,Christine,Johnson,blankenshipsheila@example.org,8792536398,2023-06-11,7491
91,Cassandra,Estes,butlerkristen@example.com,6215614762,2023-09-21,7106
92,Michael,Thompson,smithreginald@example.net,2358000858,2024-08-03,2442
93,Joseph,Huffman,millerjohn@example.net,2214147106,2025-03-21,281
94,Sarah,Russell,frazierlindsay@example.net,0018575594,2024-12-31,7136
95,Nicole,Brewer,sethsharp@example.net,4973230820,2024-07-21,7169
96,Michael,Peters,morrislorraine@example.org,9814317496,2023-07-04,447
97,William,Landry,millercheryl@example.net,1544905901,2024-06-04,8562
98,Victor,Williams,christopherhamilton@example.net,6638702853,2025-01-03,5934
99,Molly,Davis,fanderson@example.net,2556209583,2025-03-04,4081
100,Steven,Harvey,epeterson@example.net,4625031883,2024-02-08,6012
